0.2	-0.55	-0.9	0.837	1.25	0.95	-0.1	0.767	1
0.9	0.8	0.0	1.122	0.15	-0.4	-0.5	0.88	1
1.9	1.9	0.0	1.4	1.15	0.9	0.0	1.509	1
0.3	0.1	-0.7	1.672	0.65	0.65	-0.45	0.339	0
0.1	-1.4	-1.55	1.448	1.1	1.1	-0.1	0.891	1
0.4	0.25	-0.05	0.857	0.0	-1.65	-1.65	0.965	0
0.5	-0.2	-0.4	1.109	0.6	0.5	-0.5	1.229	1
0.35	0.25	-0.95	1.06	0.15	-0.45	-0.45	1.085	1
0.1	0.1	-0.05	0.256	0.15	-0.35	-0.85	1.693	0
0.2	-0.05	-0.95	1.12	0.35	0.25	-0.1	0.455	0
0.0	-1.35	-1.35	0.856	0.0	-0.6	-0.7	1.397	1
4.75	4.4	-0.55	3.363	0.0	-1.75	-2.55	2.601	1
0.9	0.6	-0.3	1.767	0.45	0.45	-0.05	0.286	0
0.95	-0.45	-0.75	1.736	0.15	0.0	-1.05	1.184	1
0.75	0.45	-0.1	1.216	0.25	0.05	-0.2	0.533	1
0.25	0.25	-0.15	0.558	0.2	0.15	-0.25	1.242	0
0.1	-1.25	-1.6	1.449	1.05	0.8	0.0	1.889	1
0.45	0.45	-0.2	0.183	0.0	-1.7	-1.75	1.622	1
1.5	0.85	-0.3	1.64	0.05	-0.6	-0.85	0.801	0
0.4	-1.2	-1.25	1.769	0.35	-0.2	-0.7	1.266	0
0.15	-0.1	-0.55	1.201	0.45	0.35	-0.25	1.107	1
0.35	0.25	-0.2	1.393	0.4	0.4	-0.1	0.353	0
0.0	-0.65	-1.15	1.41	2.25	2.05	0.0	1.98	0
0.1	-0.75	-0.95	0.965	0.0	-0.8	-0.95	0.87	1
0.8	0.75	-0.05	0.799	0.5	-0.05	-0.5	1.065	1
0.8	0.25	-0.35	1.05	0.4	-0.95	-1.05	1.856	0
0.3	-0.15	-0.15	0.44	0.0	-0.75	-1.0	1.104	0
0.0	-1.4	-1.55	1.193	0.0	-0.9	-1.3	1.237	1
0.6	0.1	-0.35	0.953	0.25	-0.35	-0.6	0.863	0
0.15	0.0	-0.25	0.881	0.0	-0.7	-0.9	1.473	0
0.2	-0.25	-0.75	2.365	0.4	-0.1	-0.15	0.256	0
0.1	-4.1	-4.5	5.524	0.35	-1.2	-1.85	4.088	1
