92.56,92.32,92.58,92.27,92.21,
92.33,92.21,92.58,92.05,92.07,
92.22,92.07,92.31,91.9,92.3,
92.06,92.3,92.35,91.96,92.36,
92.31,92.36,92.38,92.24,92.37,
92.35,92.37,92.47,92.17,92.27,
92.38,92.27,92.58,92.26,92.86,
92.27,92.86,92.88,92.09,91.77,
92.86,91.77,93.02,91.23,91.89,
91.77,91.89,92.01,91.41,92.07,
91.88,92.07,92.27,91.82,91.59,
92.08,91.59,92.08,91.59,92.29,
91.57,92.29,92.55,90.82,92.58,
92.29,92.58,93.19,92.29,92.31,
92.59,92.31,92.97,92.08,92.09,
92.32,92.09,92.46,91.52,92.45,
92.08,92.45,92.54,91.97,91.79,
92.45,91.79,92.56,91.79,91.74,
91.79,91.74,91.81,91.07,91.59,
91.74,91.59,91.74,91.5,91.83,
91.59,91.83,91.86,91.56,91.8,
91.99,91.8,91.99,91.71,91.79,
91.79,91.79,92.09,91.65,91.56,
91.78,91.56,91.81,91.36,91.97,
91.57,91.97,92.0,91.54,92.28,
91.97,92.28,92.38,91.94,92.23,
92.28,92.23,92.46,92.16,92.19,
92.24,92.19,92.59,92.16,91.95,
92.18,91.95,92.43,91.81,91.17,
91.94,91.17,92.63,91.14,91.34,
91.17,91.34,91.38,90.69,91.52,
91.33,91.52,91.91,91.31,91.45,
91.53,91.45,91.85,91.18,91.55,
91.46,91.55,92.21,91.14,90.01,
91.56,90.01,91.68,90.0,89.36,
90.01,89.36,90.45,88.79,89.08,
89.36,89.08,89.39,88.76,89.86,
89.05,89.86,89.9,89.0,90.07,
89.86,90.07,90.97,89.75,90.04,
90.07,90.04,90.35,89.68,90.21,
90.04,90.21,90.28,89.84,90.62,
90.21,90.62,90.75,90.12,90.79,
90.85,90.79,90.97,90.59,90.77,
90.79,90.77,90.88,90.42,90.65,
90.77,90.65,90.93,90.62,90.49,
90.64,90.49,90.68,90.46,90.48,
90.5,90.48,90.57,90.39,90.24,
90.48,90.24,90.5,90.18,90.2,
90.22,90.2,90.37,90.0,89.77,
90.21,89.77,90.69,89.54,90.01,
89.78,90.01,90.17,89.31,90.66,
90.01,90.66,90.91,89.9,90.92,
90.66,90.92,91.27,90.56,90.83,
90.93,90.83,91.06,90.35,91.14,
90.82,91.14,91.42,90.23,90.9,
91.12,90.9,91.17,90.2,90.72,
90.9,90.72,91.48,90.35,91.21,
90.69,91.21,91.39,90.27,91.92,
91.21,91.92,91.93,90.99,92.55,
91.92,92.55,92.83,91.48,91.81,
92.55,91.81,92.75,91.79,92.14,
91.81,92.14,92.18,91.7,92.3,
92.15,92.3,92.6,92.13,92.23,
92.04,92.23,92.29,92.0,92.15,
92.22,92.15,92.35,92.03,92.34,
92.17,92.34,92.39,92.13,92.31,
92.33,92.31,92.37,92.19,93.21,
92.32,93.21,93.22,92.3,93.19,
93.21,93.19,93.24,92.94,93.49,
93.19,93.49,93.54,92.78,93.7,
93.49,93.7,93.77,93.21,93.2,
93.68,93.2,93.9,92.99,93.65,
93.21,93.65,93.84,93.21,93.8,
93.63,93.8,93.83,93.57,93.71,
93.8,93.71,94.08,93.63,93.24,
93.69,93.24,94.01,93.01,94.35,
93.24,94.35,94.75,92.87,93.88,
94.34,93.88,94.53,93.66,92.63,
93.86,92.63,93.96,92.34,92.52,
92.62,92.52,92.79,92.06,92.92,
92.51,92.92,92.99,92.25,92.43,
92.93,92.43,92.99,91.9,92.53,
92.44,92.53,92.63,92.4,92.7,
92.54,92.7,92.71,92.5,90.42,
90.38,90.42,90.56,90.29,90.49,
90.43,90.49,90.71,90.42,90.72,
90.48,90.72,90.79,90.34,90.81,
90.72,90.81,90.89,90.68,91.05,
90.81,91.05,91.17,90.81,90.57,
91.04,90.57,91.05,90.54,90.31,
90.57,90.31,90.63,90.29,89.87,
90.3,89.87,90.62,89.79,89.47,
89.87,89.47,89.87,89.16,90.26,
89.48,90.26,90.38,89.34,90.73,
90.26,90.73,90.88,90.12,90.75,
90.72,90.75,90.94,90.6,90.52,
90.76,90.52,90.96,89.82,91.3,
90.51,91.3,91.7,90.42,90.42,
91.3,90.42,91.47,90.19,91.14,
90.41,91.14,91.21,90.0,91.25,
91.14,91.25,91.32,90.73,91.22,
91.26,91.22,91.38,90.92,91.12,
91.23,91.12,91.38,90.91,91.39,
91.12,91.39,91.41,91.1,91.67,
91.52,91.67,91.81,91.51,91.78,
91.66,91.78,92.08,91.55,90.97,
91.79,90.97,91.83,90.96,90.9,
90.98,90.9,91.0,90.74,90.88,
90.9,90.88,90.92,90.74,90.42,
90.87,90.42,90.91,90.35,90.38,
90.42,90.38,90.61,90.31,90.37,
90.39,90.37,90.69,89.97,89.63,
90.39,89.63,90.39,89.0,90.2,
89.65,90.2,90.23,89.49,90.72,
90.2,90.72,90.74,90.01,90.55,
90.72,90.55,90.74,90.28,89.85,
