94.36,95.06,96.2,93.68,95.96,
95.06,95.96,96.16,94.7,95.24,
95.96,95.24,96.0,95.1,95.24,
95.26,95.24,95.64,95.0,94.7,
95.24,94.7,95.24,94.54,94.94,
94.54,94.94,95.02,94.14,95.08,
94.98,95.08,95.6,94.58,95.16,
95.02,95.16,95.18,94.6,95.6,
95.18,95.6,95.6,95.18,99.7,
97.12,99.7,100.3,97.1,101.65,
99.72,101.65,101.65,99.22,99.68,
101.55,99.68,101.6,99.6,99.22,
99.7,99.22,99.94,99.2,98.2,
99.24,98.2,99.34,98.2,99.12,
98.24,99.12,99.24,97.96,97.68,
98.86,97.68,99.22,96.72,98.44,
97.7,98.44,98.66,96.92,98.74,
