37.62,37.019999999999996,38.76,36.669999999999995,36.540000000000006,
37.02,36.540000000000006,37.50000000000001,35.93000000000001,37.22,
36.54,37.22,37.54,36.1,35.1,
37.22,35.1,37.31,34.69,34.01,
35.11,34.01,35.21,33.47,33.790000000000006,
33.84,33.790000000000006,34.230000000000004,33.510000000000005,33.56,
33.78,33.56,34.08,32.64,33.27,
33.56,33.27,34.22,32.49,34.46000000000001,
33.27,34.46000000000001,35.57000000000001,33.07000000000001,34.83,
34.44,34.83,35.08,33.7,34.31,
34.84,34.31,36.43000000000001,33.85,34.84,
34.32,34.84,34.84,33.4,35.25,
34.79,35.25,35.82,34.5,35.62,
35.25,35.62,36.35,34.66,34.169999999999995,
35.62,34.169999999999995,36.33,33.849999999999994,33.05,
34.17,33.05,34.46,32.87,31.429999999999996,
33.05,31.429999999999996,33.419999999999995,30.979999999999997,32.56,
31.43,32.56,33.37,31.33,35.199999999999996,
32.55,35.199999999999996,35.23,32.349999999999994,38.08,
36.6,38.08,39.12,35.46,36.38,
38.08,36.38,38.21,36.15,34.56,
36.36,34.56,36.41,33.68,28.799999999999997,
34.55,28.799999999999997,35.309999999999995,25.079999999999995,23.25,
28.8,23.25,29.62,22.78,27.35,
23.23,27.35,28.14,22.95,24.28,
27.35,24.28,27.64,24.14,23.31,
24.72,23.31,24.77,23.12,22.57,
23.32,22.57,23.9,22.17,21.25,
