140.245,141.807,141.873,139.398,60.42380000000001,1.5619999999999834,0.0660000000000025,141.835,
141.806,141.835,142.281,140.751,62.246,0.028999999999996362,0.44599999999999795,141.702,
141.797,141.702,141.797,141.673,64.4,-0.09499999999999886,0.09499999999999886,141.962,
141.697,141.962,142.458,141.368,67.70469999999999,0.26499999999998636,0.4960000000000093,143.967,
141.962,143.967,144.071,141.962,64.5646,2.005000000000024,0.103999999999985,142.93,
143.96,142.93,144.083,142.438,66.2825,-1.0300000000000011,1.1529999999999916,142.141,
142.896,142.141,143.451,141.945,67.624,-0.7549999999999955,1.3100000000000023,141.571,
142.141,141.571,142.21,141.192,58.310300000000005,-0.5699999999999932,0.63900000000001,141.466,
141.436,141.466,141.493,141.409,86.2,0.030000000000001137,0.026999999999986812,141.345,
141.477,141.345,141.817,140.896,63.2505,-0.132000000000005,0.4720000000000084,141.492,
141.344,141.492,142.193,140.98,62.9293,0.14799999999999613,0.7010000000000218,142.512,
141.492,142.512,142.626,141.317,58.8332,1.0200000000000102,0.11400000000000432,143.896,
142.512,143.896,144.086,141.742,49.6904,1.3839999999999861,0.19000000000002615,144.564,
143.896,144.564,144.832,143.473,52.524699999999996,0.6680000000000064,0.2680000000000007,144.284,
144.43,144.284,144.453,144.276,81.5,-0.146000000000015,0.16900000000001114,146.597,
144.282,146.597,146.71,144.282,56.3717,2.3149999999999977,0.11299999999999955,147.081,
146.597,147.081,147.192,145.783,56.19100000000001,0.48399999999998045,0.11100000000001842,146.436,
147.085,146.436,147.247,146.066,52.368500000000004,-0.6490000000000009,0.811000000000007,146.835,
146.429,146.835,147.288,146.228,53.039300000000004,0.4060000000000059,0.45300000000000296,145.595,
146.847,145.595,148.396,144.086,50.4716,-1.2520000000000095,2.8009999999999877,146.378,
145.916,146.378,146.378,145.85,86.2,0.4619999999999891,0.0,147.074,
146.329,147.074,147.393,143.681,61.4736,0.7450000000000045,0.3189999999999884,147.566,
147.074,147.566,147.566,146.615,52.76809999999999,0.4919999999999902,0.0,147.515,
147.564,147.515,147.713,146.95,56.7161,-0.049000000000006594,0.1980000000000075,145.749,
147.509,145.749,147.692,145.548,65.60810000000001,-1.759999999999991,1.943000000000012,146.916,
145.719,146.916,147.36,145.632,61.738099999999996,1.1970000000000027,0.4440000000000168,147.093,
147.041,147.093,147.132,146.678,51.656000000000006,0.0519999999999925,0.03900000000001569,146.966,
147.091,146.966,147.749,146.707,50.85940000000001,-0.125,0.782999999999987,146.324,
146.967,146.324,147.114,145.952,32.0685,-0.6430000000000007,0.789999999999992,145.179,
146.323,145.179,146.335,145.024,64.9949,-1.1440000000000055,1.156000000000006,144.48,
145.179,144.48,145.259,144.033,56.629099999999994,-0.6990000000000123,0.7789999999999964,145.994,
144.476,145.994,146.135,144.23,54.505100000000006,1.5180000000000007,0.14099999999999113,145.759,
145.578,145.759,145.984,145.295,28.212,0.18099999999998317,0.22500000000002274,146.85,
145.759,146.85,146.996,145.638,59.7368,1.0910000000000082,0.146000000000015,146.735,
146.85,146.735,146.988,145.981,59.644699999999986,-0.11499999999998067,0.2529999999999859,146.606,
146.725,146.606,147.098,146.311,61.54109999999999,-0.11899999999999977,0.49200000000001864,144.451,
146.594,144.451,146.737,143.198,59.454600000000006,-2.1430000000000007,2.2860000000000014,143.623,
144.451,143.623,145.023,142.544,64.06960000000001,-0.828000000000003,1.4000000000000057,144.184,
143.81,144.184,144.37,143.779,32.62,0.3739999999999952,0.18600000000000705,144.54,
144.175,144.54,145.231,143.462,57.82469999999999,0.3649999999999807,0.6910000000000025,144.074,
144.531,144.074,145.354,143.352,62.269400000000005,-0.45699999999999363,1.2800000000000011,144.964,
144.075,144.964,145.489,143.561,72.17269999999999,0.88900000000001,0.5250000000000057,145.35,
144.954,145.35,145.47,144.44,55.954899999999995,0.3959999999999866,0.12000000000000455,144.953,
