100,163;104,268;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
100,142;104,265;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
99,624;104,265;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
99,706;104,269;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
99,973;104,278;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
99,278;104,287;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
99,869;104,299;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
100,794;104,301;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
97,033;104,293;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1440]
99,569;104,322;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
98,391;104,36;inputSlaveNetwork=2 ;dayBackRange:50 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=43200]
98,279;104,375;inputSlaveNetwork=2 ;dayBackRange:200 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=43200]
100,985;104,371;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
101,531;104,326;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
101,611;104,331;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
101,994;104,342;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
102,985;104,366;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,742;104,373;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
102,745;104,365;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
102,412;104,347;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
103,514;104,337;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
102,821;104,347;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
