142,198;144,912;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
139,269;144,916;inputSlaveNetwork=2 ;dayBackRange:50 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1440]
134,63;144,916;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1440]
140,189;144,939;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=30]
138,395;144,946;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
138,168;144,93;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
135,282;144,969;inputSlaveNetwork=2 ;dayBackRange:50 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=43200]
134,108;144,973;inputSlaveNetwork=2 ;dayBackRange:50 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=43200]
131,327;144,977;inputSlaveNetwork=2 ;dayBackRange:200 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=43200]
139,76;144,986;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
139,808;145,006;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
139,761;144,968;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
139,876;144,981;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
139,993;144,965;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
140,778;144,987;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
8,797;144,987;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,249;144,962;inputSlaveNetwork=2 ;dayBackRange:5 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,34;144,969;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=5]
141,703;144,917;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=5]
141,993;144,917;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,978;144,935;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,517;144,979;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,407;144,99;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,768;144,987;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,32;144,976;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,37;144,947;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,902;144,95;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,953;144,947;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,101;144,936;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,335;144,917;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,959;144,908;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,662;144,928;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,069;144,919;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,934;144,947;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,443;144,949;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,37;144,941;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,572;144,944;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,851;144,949;inputSlaveNetwork=2 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,944;144,945;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,947;144,95;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
146,079;144,956;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
146,024;144,96;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,905;144,956;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
146,169;144,967;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
145,72;144,976;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
142,453;144,978;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
146,039;144,98;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,114;144,978;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,831;144,979;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
140,89;144,965;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
141,819;144,967;inputSlaveNetwork=1 ;dayBackRange:10 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=60]
