140,472;139,781;inputSlaveNetwork=2 ;dayBackRange:1 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
138,755;139,763;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
141,379;139,763;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
139,815;139,764;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
144,487;139,771;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
137,309;139,767;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
141,529;139,748;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
145,714;139,745;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
140,049;139,745;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
136,727;139,751;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
140,505;139,758;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
134,846;139,758;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:1 ;periodCodePERIOD_CODE [code=1]
138,225;139,736;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,375;139,738;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,789;139,737;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,497;139,742;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,869;139,737;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,792;139,728;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,886;139,727;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,697;139,733;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,667;139,744;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
138,886;139,739;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
137,492;139,739;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
131,531;139,724;inputSlaveNetwork=2 ;dayBackRange:0 ;interationNetworkMaster:100 ;periodCodePERIOD_CODE [code=1]
