25.7,25.7,25.7,25.7,25.8,
25.8,25.8,25.8,25.8,25.85,
26.2,25.85,26.2,25.8,25.9,
25.85,25.9,25.95,25.85,25.95,
25.95,25.95,25.95,25.85,25.95,
25.95,25.95,25.95,25.95,26.2,
26.0,26.2,26.2,26.0,26.25,
26.25,26.25,26.25,26.25,26.25,
26.25,26.25,26.25,26.25,26.25,
26.25,26.25,27.4,26.25,26.35,
26.3,26.35,26.35,26.3,26.8,
26.3,26.8,27.0,26.3,26.8,
26.8,26.8,26.8,26.8,26.35,
26.35,26.35,26.35,26.35,26.85,
26.6,26.85,26.85,26.6,26.85,
26.85,26.85,26.85,26.85,27.0,
26.7,27.0,27.0,26.7,27.3,
27.5,27.3,27.5,26.9,27.4,
27.75,27.4,27.75,27.25,27.5,
27.4,27.5,27.5,27.4,27.6,
27.6,27.6,27.6,27.6,27.5,
27.5,27.5,27.5,27.5,27.25,
27.25,27.25,27.25,27.25,27.25,
27.25,27.25,27.25,27.25,27.25,
27.25,27.25,27.25,27.25,27.3,
27.25,27.3,27.3,27.25,28.0,
27.9,28.0,28.0,27.9,28.1,
28.0,28.1,28.1,28.0,27.9,
28.0,27.9,28.0,27.9,27.95,
27.95,27.95,28.8,27.9,28.0,
